id,title,date_earliest,date_latest,thumb_vs,production_country,production_region,production_minting_place,x,y,width,height
20102,Priene,-290,-250,http://ww2.smb.museum/mk_edit/images/n21/21116/vs_thumb.jpg,Türkei,Ionien,Priene,0,0,36,40
20103,Priene,-290,-250,http://ww2.smb.museum/mk_edit/images/n21/21117/vs_thumb.jpg,Türkei,Ionien,Priene,36,0,39,40
20104,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21118/vs_thumb.jpg,Türkei,Ionien,Priene,75,0,38,40
20105,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21119/vs_thumb.jpg,Türkei,Ionien,Priene,113,0,36,40
20106,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21120/vs_thumb.jpg,Türkei,Ionien,Priene,149,0,43,40
20107,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21121/vs_thumb.jpg,Türkei,Ionien,Priene,192,0,39,40
20109,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21123/vs_thumb.jpg,Türkei,Ionien,Priene,231,0,39,40
20110,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21124/vs_thumb.jpg,Türkei,Ionien,Priene,270,0,39,40
20111,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21125/vs_thumb.jpg,Türkei,Ionien,Priene,309,0,40,40
20112,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21126/vs_thumb.jpg,Türkei,Ionien,Priene,349,0,40,40
20113,Priene,-290,-240,http://ww2.smb.museum/mk_edit/images/n21/21127/vs_thumb.jpg,Türkei,Ionien,Priene,389,0,44,40
20114,Priene,-270,-240,http://ww2.smb.museum/mk_edit/images/n21/21128/vs_thumb.jpg,Türkei,Ionien,Priene,433,0,44,40
20115,Priene,-270,-240,http://ww2.smb.museum/mk_edit/images/n21/21129/vs_thumb.jpg,Türkei,Ionien,Priene,477,0,39,40
20118,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21132/vs_thumb.jpg,Türkei,Ionien,Priene,516,0,40,40
20119,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21133/vs_thumb.jpg,Türkei,Ionien,Priene,556,0,39,40
20120,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21134/vs_thumb.jpg,Türkei,Ionien,Priene,595,0,43,40
20121,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21135/vs_thumb.jpg,Türkei,Ionien,Priene,638,0,42,40
20122,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21136/vs_thumb.jpg,Türkei,Ionien,Priene,680,0,40,40
20123,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21137/vs_thumb.jpg,Türkei,Ionien,Priene,720,0,40,40
20124,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21138/vs_thumb.jpg,Türkei,Ionien,Priene,760,0,39,40
20125,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21139/vs_thumb.jpg,Türkei,Ionien,Priene,799,0,39,40
20126,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21140/vs_thumb.jpg,Türkei,Ionien,Priene,838,0,39,40
20127,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21141/vs_thumb.jpg,Türkei,Ionien,Priene,877,0,40,40
20128,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21142/vs_thumb.jpg,Türkei,Ionien,Priene,917,0,41,40
20129,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21143/vs_thumb.jpg,Türkei,Ionien,Priene,958,0,39,40
20130,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21144/vs_thumb.jpg,Türkei,Ionien,Priene,997,0,41,40
20131,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21145/vs_thumb.jpg,Türkei,Ionien,Priene,1038,0,49,40
20132,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21146/vs_thumb.jpg,Türkei,Ionien,Priene,1087,0,41,40
20133,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21147/vs_thumb.jpg,Türkei,Ionien,Priene,1128,0,42,40
20134,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21148/vs_thumb.jpg,Türkei,Ionien,Priene,1170,0,38,40
20135,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21149/vs_thumb.jpg,Türkei,Ionien,Priene,1208,0,39,40
20136,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21150/vs_thumb.jpg,Türkei,Ionien,Priene,1247,0,40,40
20137,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21151/vs_thumb.jpg,Türkei,Ionien,Priene,1287,0,39,40
20138,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21152/vs_thumb.jpg,Türkei,Ionien,Priene,1326,0,38,40
20140,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21154/vs_thumb.jpg,Türkei,Ionien,Priene,1364,0,39,40
20141,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21155/vs_thumb.jpg,Türkei,Ionien,Priene,1403,0,39,40
20142,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21156/vs_thumb.jpg,Türkei,Ionien,Priene,1442,0,40,40
20143,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21157/vs_thumb.jpg,Türkei,Ionien,Priene,1482,0,42,40
20144,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21158/vs_thumb.jpg,Türkei,Ionien,Priene,1524,0,38,40
20145,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21159/vs_thumb.jpg,Türkei,Ionien,Priene,1562,0,40,40
20146,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21160/vs_thumb.jpg,Türkei,Ionien,Priene,1602,0,42,40
20147,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21161/vs_thumb.jpg,Türkei,Ionien,Priene,1644,0,38,40
20148,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21162/vs_thumb.jpg,Türkei,Ionien,Priene,1682,0,41,40
20149,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21163/vs_thumb.jpg,Türkei,Ionien,Priene,1723,0,40,40
20151,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21165/vs_thumb.jpg,Türkei,Ionien,Priene,1763,0,42,40
20152,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21166/vs_thumb.jpg,Türkei,Ionien,Priene,1805,0,45,40
20153,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21167/vs_thumb.jpg,Türkei,Ionien,Priene,1850,0,38,40
20155,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21169/vs_thumb.jpg,Türkei,Ionien,Priene,1888,0,39,40
20157,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21171/vs_thumb.jpg,Türkei,Ionien,Priene,1927,0,39,40
20159,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21173/vs_thumb.jpg,Türkei,Ionien,Priene,1966,0,40,40
20160,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21174/vs_thumb.jpg,Türkei,Ionien,Priene,0,40,44,40
20161,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21175/vs_thumb.jpg,Türkei,Ionien,Priene,44,40,41,40
20162,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21176/vs_thumb.jpg,Türkei,Ionien,Priene,85,40,40,40
20163,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21177/vs_thumb.jpg,Türkei,Ionien,Priene,125,40,41,40
20164,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21178/vs_thumb.jpg,Türkei,Ionien,Priene,166,40,40,40
20165,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21179/vs_thumb.jpg,Türkei,Ionien,Priene,206,40,36,40
20166,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21180/vs_thumb.jpg,Türkei,Ionien,Priene,242,40,40,40
20167,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21181/vs_thumb.jpg,Türkei,Ionien,Priene,282,40,36,40
20168,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21182/vs_thumb.jpg,Türkei,Ionien,Priene,318,40,38,40
20169,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21183/vs_thumb.jpg,Türkei,Ionien,Priene,356,40,39,40
20170,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21184/vs_thumb.jpg,Türkei,Ionien,Priene,395,40,39,40
20171,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21185/vs_thumb.jpg,Türkei,Ionien,Priene,434,40,40,40
20172,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21186/vs_thumb.jpg,Türkei,Ionien,Priene,474,40,37,40
20173,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21187/vs_thumb.jpg,Türkei,Ionien,Priene,511,40,39,40
20174,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21188/vs_thumb.jpg,Türkei,Ionien,Priene,550,40,38,40
20175,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21189/vs_thumb.jpg,Türkei,Ionien,Priene,588,40,41,40
20176,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21190/vs_thumb.jpg,Türkei,Ionien,Priene,629,40,37,40
20178,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21192/vs_thumb.jpg,Türkei,Ionien,Priene,666,40,40,40
20179,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21193/vs_thumb.jpg,Türkei,Ionien,Priene,706,40,40,40
20180,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21194/vs_thumb.jpg,Türkei,Ionien,Priene,746,40,40,40
20184,Populonia,-211,-211,http://ww2.smb.museum/mk_edit/images/n21/21198/vs_thumb.jpg,Italien,Etrurien,Populonia,786,40,40,40
20187,Populonia,-211,-211,http://ww2.smb.museum/mk_edit/images/n21/21201/vs_thumb.jpg,Italien,Etrurien,Populonia,826,40,36,40
20188,Populonia,-211,-211,http://ww2.smb.museum/mk_edit/images/n21/21202/vs_thumb.jpg,Italien,Etrurien,Populonia,862,40,43,40
20189,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21203/vs_thumb.jpg,Türkei,Ionien,Priene,905,40,40,40
20190,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21204/vs_thumb.jpg,Türkei,Ionien,Priene,945,40,38,40
20192,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21206/vs_thumb.jpg,Türkei,Ionien,Priene,983,40,42,40
20193,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21207/vs_thumb.jpg,Türkei,Ionien,Priene,1025,40,43,40
20194,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21208/vs_thumb.jpg,Türkei,Ionien,Priene,1068,40,40,40
20195,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21209/vs_thumb.jpg,Türkei,Ionien,Priene,1108,40,39,40
20196,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21210/vs_thumb.jpg,Türkei,Ionien,Priene,1147,40,37,40
20197,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21211/vs_thumb.jpg,Türkei,Ionien,Priene,1184,40,41,40
20198,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21212/vs_thumb.jpg,Türkei,Ionien,Priene,1225,40,37,40
20199,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21213/vs_thumb.jpg,Türkei,Ionien,Priene,1262,40,42,40
20200,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21214/vs_thumb.jpg,Türkei,Ionien,Priene,1304,40,40,40
20201,Priene,-150,-125,http://ww2.smb.museum/mk_edit/images/n21/21215/vs_thumb.jpg,Türkei,Ionien,Priene,1344,40,38,40
