id,title,date_earliest,date_latest,thumb_vs,production_country,production_region,production_minting_place
00001,Tarent,-415,-390,http://ww2.smb.museum/mk_edit/images/n0/1/vs_thumb.jpg,Italien,Kalabrien,Tarent
00002,Kaulonia,-525,-500,http://ww2.smb.museum/mk_edit/images/n0/2/vs_thumb.jpg,Italien,Bruttium,Kaulonia
00003,So-(?),-525,-510,http://ww2.smb.museum/mk_edit/images/n0/3/vs_thumb.jpg,Italien,Lukanien,
00004,Kyme,-420,-380,http://ww2.smb.museum/mk_edit/images/n0/4/vs_thumb.jpg,Italien,Kampanien,Kyme
00005,Thurioi,-400,-350,http://ww2.smb.museum/mk_edit/images/n0/5/vs_thumb.jpg,Italien,Lukanien,Thurioi
00007,Metapont,-540,-500,http://ww2.smb.museum/mk_edit/images/n0/7/vs_thumb.jpg,Italien,Lukanien,Metapont
00008,Zankle (Messana),-520,-500,http://ww2.smb.museum/mk_edit/images/n0/8/vs_thumb.jpg,Italien,Sizilien,Messana-Messina
00009,Griechenland: 2002,1958,2002,http://ww2.smb.museum/mk_edit/images/n0/9/vs_thumb.jpg,Finnland,,Vantaa
00010,Italien: 2002,1958,2002,http://ww2.smb.museum/mk_edit/images/n0/10/vs_thumb.jpg,Italien,Latium,Rom
00011,Österreich: 2002,1954,2002,http://ww2.smb.museum/mk_edit/images/n0/11/vs_thumb.jpg,Österreich,Wien,Wien
00013,Spanien: 1999,1958,1616,http://ww2.smb.museum/mk_edit/images/n0/13/vs_thumb.jpg,Spanien,Kastilien,Madrid
00014,Bundesrepublik Deutschland: 2002,1958,2002,http://ww2.smb.museum/mk_edit/images/n0/14/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00015,Frankreich: 2002,1958,1999,http://ww2.smb.museum/mk_edit/images/n0/15/vs_thumb.jpg,Frankreich,Gironde,Pessac
00017,Persischer Großkönig,-500,-350,http://ww2.smb.museum/mk_edit/images/n0/17/vs_thumb.jpg,,Persis,
00018,Persischer Großkönig,-400,-330,http://ww2.smb.museum/mk_edit/images/n0/18/vs_thumb.jpg,,Persis,
00019,Persischer Satrap,-400,-330,http://ww2.smb.museum/mk_edit/images/n0/19/vs_thumb.jpg,Türkei,Kleinasien,
00022,Röm. Republik: L. Furius Brocchus,-63,-63,http://ww2.smb.museum/mk_edit/images/n0/22/vs_thumb.jpg,Italien,Italia,Rom
00023,Niederlande: 1999,1950,1999,http://ww2.smb.museum/mk_edit/images/n0/23/vs_thumb.jpg,Niederlande,Utrecht,Utrecht
00025,Bundesrepublik Deutschland: 2002,1958,2002,http://ww2.smb.museum/mk_edit/images/n0/25/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00027,Persischer Satrap (Keranos) in Soloi,-400,-375,http://ww2.smb.museum/mk_edit/images/n0/27/vs_thumb.jpg,Türkei,Kilikien,Soloi-Pompeiopolis
00028,Röm. Republik: L. Furius Brocchus,-63,-63,http://ww2.smb.museum/mk_edit/images/n0/28/vs_thumb.jpg,Italien,Italia,Rom
00029,Bundesrepublik Deutschland: 2002 Währungsunion,1944,2002,http://ww2.smb.museum/mk_edit/images/n0/29/vs_thumb.jpg,Deutschland,Baden-Württemberg,Stuttgart
00030,Gordianus III.,225,244,http://ww2.smb.museum/mk_edit/images/n0/30/vs_thumb.jpg,Italien,Italia,Rom
00031,Axum: Ouazebas,390,410,http://ww2.smb.museum/mk_edit/images/n0/31/vs_thumb.jpg,Äthiopien,Axum,Axum
00033,Bundesrepublik Deutschland: 2000 10 Jahre Deutsche Einheit,1942,2000,http://ww2.smb.museum/mk_edit/images/n0/33/vs_thumb.jpg,Deutschland,Bayern,München
00034,Ephesos,188,217,http://ww2.smb.museum/mk_edit/images/n0/34/vs_thumb.jpg,Türkei,Asia,Ephesos
00035,Bundesrepublik Deutschland: 2004 Europäische Union,2004,2004,http://ww2.smb.museum/mk_edit/images/n0/36/vs_thumb.jpg,Deutschland,Baden-Württemberg,Karlsruhe
00036,Pergamon,170,217,http://ww2.smb.museum/mk_edit/images/n0/38/vs_thumb.jpg,Türkei,Mysien,Pergamon
00037,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,http://ww2.smb.museum/mk_edit/images/n0/39/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00038,Severus Alexander,208,235,http://ww2.smb.museum/mk_edit/images/n0/41/vs_thumb.jpg,Italien,Italia,Rom
00039,Herennia Etruscilla,190,251,http://ww2.smb.museum/mk_edit/images/n0/43/vs_thumb.jpg,Italien,Italia,Rom
00040,Bundesrepublik Deutschland: 2002 Währungsunion,2002,2002,http://ww2.smb.museum/mk_edit/images/n0/45/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00041,Bundesrepublik Deutschland: 2003 Quedlinburg,1948,2003,http://ww2.smb.museum/mk_edit/images/n0/44/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00042,Bundesrepublik Deutschland: 2004 Bamberg,2004,2004,http://ww2.smb.museum/mk_edit/images/n0/46/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00045,Persischer Satrap,-400,-330,http://ww2.smb.museum/mk_edit/images/n0/35/vs_thumb.jpg,,Persis,
00049,Persischer Satrap in Pergamon,-400,-333,http://ww2.smb.museum/mk_edit/images/n0/50/vs_thumb.jpg,Türkei,Mysien,Pergamon
00050,Persischer Satrap: Tissaphernes,-411,-395,http://ww2.smb.museum/mk_edit/images/n0/55/vs_thumb.jpg,Türkei,Karien,Astyra
00054,Diocletianus,245,313,http://ww2.smb.museum/mk_edit/images/n0/40/vs_thumb.jpg,Deutschland,Gallia,Trier
00055,Commodus,161,192,http://ww2.smb.museum/mk_edit/images/n0/62/vs_thumb.jpg,Italien,Italia,Rom
00056,Domitianus,51,96,http://ww2.smb.museum/mk_edit/images/n0/56/vs_thumb.jpg,Italien,Italia,Rom
00058,Divus Augustus,-63,14,http://ww2.smb.museum/mk_edit/images/n0/64/vs_thumb.jpg,Italien,Italia,Rom
00059,Divus Augustus,-63,14,http://ww2.smb.museum/mk_edit/images/n0/42/vs_thumb.jpg,Italien,Italia,Rom
00063,Bosporos: Rheskouporis III.,208,235,http://ww2.smb.museum/mk_edit/images/n0/68/vs_thumb.jpg,Ukraine,Bosporos,
00064,Röm. Republik: C. Calpurnius Piso Frugi,-67,-67,http://ww2.smb.museum/mk_edit/images/n0/69/vs_thumb.jpg,Italien,Italia,Rom
00065,Thrakien: Lysimachi,-297,-200,http://ww2.smb.museum/mk_edit/images/n0/71/vs_thumb.jpg,Türkei,Thrakien,
00066,Kaiserreich: 1915 Mansfeld,1859,1936,http://ww2.smb.museum/mk_edit/images/n0/73/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00067,Philippus I.,204,249,http://ww2.smb.museum/mk_edit/images/n0/74/vs_thumb.jpg,Italien,Italia,Rom
00068,Apameia,190,251,http://ww2.smb.museum/mk_edit/images/n0/75/vs_thumb.jpg,Türkei,Phrygien,Apameia (Kibotos)
00069,Kaiserreich: Bayern 1918,1845,1921,http://ww2.smb.museum/mk_edit/images/n0/76/vs_thumb.jpg,Deutschland,Bayern,München
00070,Pergamon,-123,-67,http://ww2.smb.museum/mk_edit/images/n0/77/vs_thumb.jpg,Türkei,Mysien,Pergamon
00071,Kaiserreich: Württemberg 1916,1872,1949,http://ww2.smb.museum/mk_edit/images/n0/78/vs_thumb.jpg,Deutschland,Württemberg,Stuttgart
00072,Pergamon,189,211,http://ww2.smb.museum/mk_edit/images/n0/79/vs_thumb.jpg,Türkei,Mysien,Pergamon
00073,Pergamon,188,217,http://ww2.smb.museum/mk_edit/images/n0/80/vs_thumb.jpg,Türkei,Mysien,Pergamon
00074,Kaiserreich: Württemberg 1911,1848,1921,http://ww2.smb.museum/mk_edit/images/n0/81/vs_thumb.jpg,Deutschland,Württemberg,Stuttgart
00075,Aspendos,-440,-420,http://ww2.smb.museum/mk_edit/images/n0/82/vs_thumb.jpg,Türkei,Pamphylien,Aspendos
00076,Seleukiden: Antiochos I.,-324,-261,http://ww2.smb.museum/mk_edit/images/n0/83/vs_thumb.jpg,Irak,Babylonien,Seleukia am Tigris
00077,Kaiserreich: Hessen 1904,1872,1943,http://ww2.smb.museum/mk_edit/images/n0/84/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00078,Makedonien: Alexandros III.,-188,-170,http://ww2.smb.museum/mk_edit/images/n0/85/vs_thumb.jpg,Türkei,Ionien,Temnos
00079,Side,-300,-100,http://ww2.smb.museum/mk_edit/images/n0/86/vs_thumb.jpg,Türkei,Pamphylien,Side
00080,Kaiserreich: Hessen 1917,1874,1943,http://ww2.smb.museum/mk_edit/images/n0/87/vs_thumb.jpg,Deutschland,Hessen,Berlin
00081,Augustus,-63,14,http://ww2.smb.museum/mk_edit/images/n0/88/vs_thumb.jpg,Frankreich,Gallia,Lyon
00082,Claudius,-10,54,http://ww2.smb.museum/mk_edit/images/n0/89/vs_thumb.jpg,Italien,Italia,Rom
00083,Caesarea: Nero,37,68,http://ww2.smb.museum/mk_edit/images/n0/90/vs_thumb.jpg,Türkei,Kappadokien,Caesarea (Kayseri)
00084,Kaiserreich: Mecklenburg-Schwerin 1904,1882,1945,http://ww2.smb.museum/mk_edit/images/n0/91/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00085,Caesarea: Nero,37,68,http://ww2.smb.museum/mk_edit/images/n0/92/vs_thumb.jpg,Türkei,Kappadokien,Caesarea (Kayseri)
00086,Kaiserreich: 1908 Universität Jena,1503,1554,http://ww2.smb.museum/mk_edit/images/n0/93/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00087,Gaza,146,211,http://ww2.smb.museum/mk_edit/images/n0/94/vs_thumb.jpg,Palästinensische Autonomiegebiete,Iudaea,Gaza
00088,Kaiserreich: Sachsen-Weimar-Eisenach 1915,1868,1922,http://ww2.smb.museum/mk_edit/images/n0/95/vs_thumb.jpg,Deutschland,Brandenburg,Berlin
00089,Pergamon,188,217,http://ww2.smb.museum/mk_edit/images/n0/96/vs_thumb.jpg,Türkei,Mysien,Pergamon
00091,Side,221,221,http://ww2.smb.museum/mk_edit/images/n0/98/vs_thumb.jpg,Türkei,Pamphylien,Side
00092,Elektron,-600,-500,http://ww2.smb.museum/mk_edit/images/n0/99/vs_thumb.jpg,Türkei,Kleinasien,
00093,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/100/vs_thumb.jpg,Türkei,Kleinasien,
00094,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/101/vs_thumb.jpg,Türkei,Lydien,
00095,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/102/vs_thumb.jpg,Türkei,Kleinasien,
00096,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/103/vs_thumb.jpg,Türkei,Kleinasien,
00097,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/104/vs_thumb.jpg,Türkei,Kleinasien,
00098,Elektron,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/105/vs_thumb.jpg,Türkei,Kleinasien,
00099,Milet,-600,-550,http://ww2.smb.museum/mk_edit/images/n0/106/vs_thumb.jpg,Türkei,Ionien,Milet
